taxID,Organism
24,Shewanella putrefaciens
162,Treponema phagedenis
195,Campylobacter coli
197,Campylobacter jejuni
204,Campylobacter showae
274,Thermus thermophilus
287,Pseudomonas aeruginosa
294,Pseudomonas fluorescens
296,Pseudomonas fragi
301,Pseudomonas oleovorans
303,Pseudomonas putida
316,Stutzerimonas stutzeri
329,Ralstonia pickettii
340,Xanthomonas campestris pv. campestris
358,Agrobacterium tumefaciens
438,Acetobacter pasteurianus
470,Acinetobacter baumannii
483,Neisseria cinerea
484,Neisseria flavescens
485,Neisseria gonorrhoeae
488,Neisseria mucosa
539,Eikenella corrodens
545,Citrobacter koseri
546,Citrobacter freundii
548,Klebsiella aerogenes
549,Pantoea agglomerans
550,Enterobacter cloacae
553,Pantoea ananatis
554,Pectobacterium carotovorum
562,Escherichia coli
563,Shimwellia blattae
564,Escherichia fergusonii
565,Atlantibacter hermannii
569,Hafnia alvei
571,Klebsiella oxytoca
573,Klebsiella pneumoniae
574,Klebsiella pneumoniae subsp. ozaenae
575,Raoultella planticola
577,Raoultella terrigena
582,Morganella morganii
584,Proteus mirabilis
585,Proteus vulgaris
588,Providencia stuartii
595,Salmonella enterica subsp. enterica serovar Infantis
605,Salmonella enterica subsp. enterica serovar Pullorum
614,Serratia liquefaciens
615,Serratia marcescens
621,Shigella boydii
622,Shigella dysenteriae
623,Shigella flexneri
624,Shigella sonnei
630,Yersinia enterocolitica
632,Yersinia pestis
636,Edwardsiella tarda
645,Aeromonas salmonicida
654,Aeromonas veronii
666,Vibrio cholerae
726,Haemophilus haemolyticus
727,Haemophilus influenzae
729,Haemophilus parainfluenzae
730,[Haemophilus] ducreyi
731,Histophilus somni
732,Aggregatibacter aphrophilus
747,Pasteurella multocida
762,Avibacterium volantium
777,Coxiella burnetii
817,Bacteroides fragilis
818,Bacteroides thetaiotaomicron
820,Bacteroides uniformis
823,Parabacteroides distasonis
824,Campylobacter gracilis
837,Porphyromonas gingivalis
847,Oxalobacter formigenes
851,Fusobacterium nucleatum
853,Faecalibacterium prausnitzii
856,Fusobacterium varium
859,Fusobacterium necrophorum
860,Fusobacterium periodonticum
861,Fusobacterium ulcerans
876,Desulfovibrio desulfuricans
897,Desulfococcus multivorans
901,Desulfovibrio piger
907,Megasphaera elsdenii
964,Herbaspirillum seropedicae
1017,Capnocytophaga gingivalis
1019,Capnocytophaga sputigena
1245,Leuconostoc mesenteroides
1246,Leuconostoc lactis
1247,Oenococcus oeni
1249,Weissella paramesenteroides
1252,Leuconostoc carnosum
1254,Pediococcus acidilactici
1255,Pediococcus pentosaceus
1270,Micrococcus luteus
1274,Dermacoccus nishinomiyaensis
1275,Kocuria rosea
1280,Staphylococcus aureus
1281,Staphylococcus carnosus
1282,Staphylococcus epidermidis
1283,Staphylococcus haemolyticus
1288,Staphylococcus xylosus
1290,Staphylococcus hominis
1292,Staphylococcus warneri
1296,Mammaliicoccus sciuri
1302,Streptococcus gordonii
1303,Streptococcus oralis
1304,Streptococcus salivarius
1305,Streptococcus sanguinis
1307,Streptococcus suis
1308,Streptococcus thermophilus
1309,Streptococcus mutans
1310,Streptococcus sobrinus
1311,Streptococcus agalactiae
1313,Streptococcus pneumoniae
1314,Streptococcus pyogenes
1319,Streptococcus sp. 'group B'
1326,Streptococcus acidominimus
1328,Streptococcus anginosus
1329,Streptococcus canis
1334,Streptococcus dysgalactiae
1335,Streptococcus equinus
1338,Streptococcus intermedius
1340,Streptococcus porcinus
1343,Streptococcus vestibularis
1345,Streptococcus ferus
1348,Streptococcus parauberis
1349,Streptococcus uberis
1351,Enterococcus faecalis
1352,Enterococcus faecium
1353,Enterococcus gallinarum
1354,Enterococcus hirae
1358,Lactococcus lactis
1359,Lactococcus cremoris
1360,Lactococcus lactis subsp. lactis
1363,Lactococcus garvieae
1366,Lactococcus raffinolactis
1376,Aerococcus urinae
1377,Aerococcus viridans
1379,Gemella haemolysans
1392,Bacillus anthracis
1394,[Bacillus] caldolyticus
1396,Bacillus cereus
1397,Niallia circulans
1398,Heyndrickxia coagulans
1402,Bacillus licheniformis
1422,Geobacillus stearothermophilus
1423,Bacillus subtilis
1428,Bacillus thuringiensis
1491,Clostridium botulinum
1492,Clostridium butyricum
1494,Clostridium cochlearium
1496,Clostridioides difficile
1502,Clostridium perfringens
1504,Clostridium septicum
1505,Paraclostridium sordellii
1509,Clostridium sporogenes
1511,Acetoanaerobium sticklandii
1519,Clostridium tyrobutyricum
1520,Clostridium beijerinckii
1561,Clostridium baratii
1579,Lactobacillus acidophilus
1580,Levilactobacillus brevis
1582,Lacticaseibacillus casei
1583,Weissella confusa
1585,Lactobacillus delbrueckii subsp. bulgaricus
1587,Lactobacillus helveticus
1588,Lentilactobacillus hilgardii
1589,Lactiplantibacillus pentosus
1590,Lactiplantibacillus plantarum
1596,Lactobacillus gasseri
1597,Lacticaseibacillus paracasei
1598,Limosilactobacillus reuteri
1599,Latilactobacillus sakei
1600,Lactobacillus acetotolerans
1601,Ligilactobacillus agilis
1604,Lactobacillus amylovorus
1610,Loigolactobacillus coryniformis
1613,Limosilactobacillus fermentum
1622,Ligilactobacillus murinus
1624,Ligilactobacillus salivarius
1639,Listeria monocytogenes
1648,Erysipelothrix rhusiopathiae
1655,Actinomyces naeslundii
1656,Actinomyces viscosus
